longitude,latitude,elevation
-123.001054,38.715709,79.6
-123.001062,38.71571,79.7
-123.001071,38.715711,79.7
-123.00108,38.715709,79.7
-123.001087,38.715704,79.7
-123.001099,38.715702,79.7
-123.001112,38.7157,79.8
-123.001121,38.715699,79.9
-123.00113,38.715695,80.0
-123.001138,38.715694,80.0
-123.001144,38.715694,80.1
-123.001149,38.715694,80.1
-123.001152,38.715693,80.1
-123.001155,38.715692,80.2
-123.001156,38.715689,80.2
-123.001158,38.715686,80.2
-123.00116,38.715683,80.2
-123.001163,38.715683,80.3
-123.001168,38.715681,80.3
-123.001176,38.715677,80.4
-123.001184,38.715677,80.4
-123.00119,38.715674,80.5
-123.001197,38.715673,80.5
-123.001201,38.715671,80.6
-123.001207,38.715674,80.6
-123.001213,38.715675,80.6
-123.001217,38.715674,80.7
-123.001218,38.715674,80.7
-123.001219,38.715675,80.7
-123.001221,38.715676,80.7
-123.001222,38.715678,80.7
-123.001221,38.715679,80.7
-123.001224,38.715684,80.8
-123.001229,38.715684,80.8
-123.001233,38.715683,80.9
-123.001235,38.715685,80.9
-123.001235,38.715686,80.9
-123.001238,38.715688,80.9
-123.001242,38.715691,80.9
-123.001249,38.715693,81.0
-123.001257,38.715695,81.1
-123.001264,38.715696,81.1
-123.001268,38.715697,81.1
-123.00127,38.715699,81.2
-123.001274,38.715698,81.2
-123.001275,38.715698,81.2
-123.001273,38.715698,81.2
-123.001272,38.715698,81.2
-123.001272,38.715698,81.2
-123.001273,38.715698,81.2
-123.001274,38.715699,81.2
-123.001274,38.715699,81.2
-123.001276,38.715699,81.2
-123.001278,38.715697,81.3
-123.00128,38.715697,81.3
-123.00128,38.715699,81.3
-123.001282,38.7157,81.3
-123.001286,38.715701,81.3
-123.001292,38.715702,81.4
-123.001298,38.715702,81.4
-123.001304,38.715704,81.5
-123.001308,38.715706,81.5
-123.001311,38.715708,81.5
-123.001312,38.715713,81.6
-123.001314,38.715715,81.6
-123.001318,38.715717,81.6
-123.001327,38.715717,81.7
-123.001334,38.71572,81.7
-123.001338,38.715725,81.8
-123.001343,38.715727,81.8
-123.001344,38.715729,81.8
-123.001345,38.715729,81.8
-123.001345,38.71573,81.8
-123.001345,38.715729,81.9
-123.001347,38.715728,81.9
-123.001348,38.715728,81.9
-123.001348,38.715728,81.9
-123.001347,38.715728,81.9
-123.001347,38.715729,81.9
-123.001347,38.715728,81.9
-123.001348,38.715729,81.9
-123.001352,38.715732,81.9
-123.001357,38.715736,82.0
